,name,precision,recall,f1,jaccard,avg comp inutili
0,name,0.1111111111111111,1.0,0.19999999999999998,0.2,4
1,country,0.3333333333333333,1.0,0.5,0.5,3
2,address,0.5,1.0,0.6666666666666666,0.6666666666666666,1
3,founded,0.6666666666666666,1.0,0.8,0.8,1
4,employees,0.45454545454545453,1.0,0.625,0.625,3
5,market_cap,0.2857142857142857,1.0,0.4444444444444445,0.4444444444444444,5
6,revenue,0.2222222222222222,1.0,0.3636363636363636,0.36363636363636365,7
7,profit,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.2222222222222222,6
8,categories,0.6,1.0,0.7499999999999999,0.75,1
9,ceo,0.1111111111111111,1.0,0.19999999999999998,0.2,4
